id,Mercado ID,Mercado,Producto ID,Tipo de Fruta,Fruta,Categoría ID,URL Miniatura,URL Expandida
176,6,Mercado Mayorista Lo Valledor de Santiago,100101,Berries,Frambuesa,100101004,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101004,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101004
177,6,Mercado Mayorista Lo Valledor de Santiago,100101,Berries,Higo,100101006,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101006,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101006
178,6,Mercado Mayorista Lo Valledor de Santiago,100101,Berries,Kiwi,100101007,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101007,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101007
179,6,Mercado Mayorista Lo Valledor de Santiago,100101,Berries,Mora,100101008,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101008,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100101008
180,6,Mercado Mayorista Lo Valledor de Santiago,100102,Cítricos,Limón,100102003,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102003,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102003
181,6,Mercado Mayorista Lo Valledor de Santiago,100102,Cítricos,Mandarina,100102004,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102004,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102004
182,6,Mercado Mayorista Lo Valledor de Santiago,100102,Cítricos,Naranja,100102005,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102005,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102005
183,6,Mercado Mayorista Lo Valledor de Santiago,100102,Cítricos,Pomelo,100102006,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102006,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100102006
184,6,Mercado Mayorista Lo Valledor de Santiago,100103,Frutos de hueso (carozo),Cereza,100103001,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100103001,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100103001
185,6,Mercado Mayorista Lo Valledor de Santiago,100103,Frutos de hueso (carozo),Ciruela,100103002,https://analytics.zoho.com/open-view/2395394000010977241?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100103002,https://analytics.zoho.com/open-view/2395394000010977153?ZOHO_CRITERIA=%22Fruta%20Consolidado%22.%22Mercado%20ID%22%3D6%20and%20%22Fruta%20Consolidado%22.%22Categor%C3%ADa%20ID%22%3D100103002
